id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileId
1,10,Glonass,17.9,-3.82,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
2,6,Glonass,18.8,-3.82,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
3,22,Glonass,33.9,-3.82,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
4,13,Glonass,16.3,-3.82,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
5,12,Glonass,31.1,-3.82,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
6,11,Glonass,33.3,-3.82,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
7,5,Glonass,25.1,-3.82,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
8,23,Glonass,38.3,-3.82,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
9,21,Glonass,34.9,-3.82,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
10,2,GPS,36.2,-1.14,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
11,5,GPS,34.1,-1.14,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
12,6,GPS,29.4,-1.14,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
13,12,GPS,35.8,-1.14,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
14,21,GPS,27.9,-1.14,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
15,24,GPS,27.8,-1.14,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
16,25,GPS,38.2,-1.14,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
17,29,GPS,38.1,-1.14,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
18,31,GPS,33,-1.14,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
19,10,Glonass,23.3,-2.05,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
20,6,Glonass,18.8,-2.05,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
21,22,Glonass,36,-2.05,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
22,13,Glonass,16.3,-2.05,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
23,12,Glonass,33.8,-2.05,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
24,11,Glonass,33.8,-2.05,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
25,5,Glonass,25.1,-2.05,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
26,23,Glonass,34.3,-2.05,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
27,21,Glonass,37.3,-2.05,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
28,2,GPS,34.5,-0.97,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
29,5,GPS,29.4,-0.97,115,28,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
30,6,GPS,25.3,-0.97,39,4,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
31,12,GPS,33.5,-0.97,104,58,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
32,21,GPS,25.2,-0.97,219,8,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
33,24,GPS,35.8,-0.97,182,17,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
34,25,GPS,38.7,-0.97,334,68,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
35,29,GPS,35.5,-0.97,291,45,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
36,31,GPS,35.5,-0.97,314,17,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
37,10,Glonass,30,-2.06,157,9,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
38,6,Glonass,18.8,-2.06,88,7,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
39,22,Glonass,34.8,-2.06,292,57,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
40,13,Glonass,13.3,-2.06,331,3,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
41,12,Glonass,33.3,-2.06,312,60,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
42,11,Glonass,35.8,-2.06,177,62,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
43,5,Glonass,19.1,-2.06,36,3,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
44,23,Glonass,27.7,-2.06,244,12,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
45,21,Glonass,36.6,-2.06,25,37,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
46,2,GPS,32.6,-1.87,46,49,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
47,5,GPS,32.4,-1.87,115,28,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
48,6,GPS,23.1,-1.87,39,4,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
49,12,GPS,36.3,-1.87,104,58,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
50,21,GPS,19.3,-1.87,219,8,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
51,24,GPS,31.2,-1.87,182,17,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
52,25,GPS,37.5,-1.87,334,68,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
53,29,GPS,37.4,-1.87,291,45,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
54,31,GPS,36.6,-1.87,314,17,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
55,2,Beidou,22.3,-1.51,119,30,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
56,3,Beidou,24.1,-1.51,101,8,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
57,5,Beidou,30.6,-1.51,149,47,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
58,8,Beidou,18.6,-1.51,42,15,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
59,10,Beidou,18.6,-1.51,137,9,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
60,12,Beidou,27.7,-1.51,272,45,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
61,13,Beidou,27.1,-1.51,40,40,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
62,19,Beidou,31.7,-1.51,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
63,20,Beidou,20.5,-1.51,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
64,24,Beidou,34.6,-1.51,0,0,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
65,11,Galileo,22.7,-2,240,36,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
66,12,Galileo,30.3,-2,344,77,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
67,24,Galileo,33.2,-2,298,73,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
68,25,Galileo,33.2,-2,319,22,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
69,31,Galileo,32,-2,150,46,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
70,10,Glonass,26.3,-0.93,157,9,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
71,6,Glonass,18.8,-0.93,88,7,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
72,22,Glonass,34.2,-0.93,292,57,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
73,13,Glonass,18,-0.93,331,3,TORGI-GNSS-20180907T045921.111Z.gpkg,0,Control-1
