id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID,,,,,,
1,22,Glonass,36.1,0,0,0,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
2,12,Glonass,32.8,0,312,60,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
3,11,Glonass,33.2,0,177,62,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
4,2,GPS,38.7,0,46,49,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
5,5,GPS,35.3,0,115,28,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
6,12,GPS,40.1,0,104,58,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
7,24,GPS,37.9,0,182,17,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
8,25,GPS,36.4,0,334,68,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
9,29,GPS,32.9,0,291,45,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
10,31,GPS,35.6,0,314,17,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
11,10,Glonass,25,-1.12,157,9,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
12,22,Glonass,36.1,-1.12,292,57,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
13,12,Glonass,32.8,-1.12,312,60,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
14,11,Glonass,33.2,-1.12,177,62,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
15,5,Glonass,26.4,-1.12,36,3,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
16,23,Glonass,30.3,-1.12,244,12,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
17,21,Glonass,30.5,-1.12,25,37,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
18,2,GPS,31.8,0.08,46,49,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
19,5,GPS,43.8,0.08,115,28,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
20,12,GPS,38.5,0.08,104,58,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
21,21,GPS,35.2,0.08,219,8,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
22,24,GPS,37,0.08,182,17,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
23,25,GPS,41.9,0.08,334,68,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
24,29,GPS,41.3,0.08,291,45,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
25,31,GPS,38.4,0.08,314,17,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
26,10,Glonass,29.7,-0.9,157,9,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
27,6,Glonass,18.1,-0.9,88,7,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
28,22,Glonass,30,-0.9,292,57,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
29,13,Glonass,24.7,-0.9,331,3,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
30,12,Glonass,31.9,-0.9,312,60,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
31,11,Glonass,31.9,-0.9,177,62,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
32,5,Glonass,24.2,-0.9,36,3,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
33,23,Glonass,29.1,-0.9,244,12,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
34,21,Glonass,33.4,-0.9,25,37,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
35,2,GPS,34.6,-0.23,46,49,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
36,5,GPS,45.2,-0.23,115,28,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
37,12,GPS,34,-0.23,104,58,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
38,21,GPS,33.1,-0.23,219,8,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
39,24,GPS,37.2,-0.23,182,17,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
40,25,GPS,34,-0.23,334,68,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
41,29,GPS,41.8,-0.23,291,45,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
42,31,GPS,38.6,-0.23,314,17,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
43,10,Glonass,30.9,-0.82,157,9,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
44,6,Glonass,17.9,-0.82,88,7,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
45,22,Glonass,32.3,-0.82,292,57,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
46,13,Glonass,24.2,-0.82,331,3,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
47,12,Glonass,34.5,-0.82,312,60,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
48,11,Glonass,32.7,-0.82,177,62,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
49,5,Glonass,22.9,-0.82,36,3,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
50,23,Glonass,28.4,-0.82,244,12,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
51,21,Glonass,34.7,-0.82,25,37,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
52,2,GPS,34.3,0.08,46,49,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
53,5,GPS,45,0.08,115,28,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
54,6,GPS,18.4,0.08,39,4,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
55,12,GPS,35.4,0.08,104,58,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
56,21,GPS,32.4,0.08,219,8,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
57,24,GPS,38.4,0.08,182,17,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
58,25,GPS,36.5,0.08,334,68,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
59,29,GPS,41,0.08,291,45,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
60,31,GPS,39.2,0.08,314,17,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
61,10,Glonass,29.3,-0.86,157,9,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
62,6,Glonass,17.9,-0.86,88,7,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
63,22,Glonass,31.4,-0.86,292,57,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
64,13,Glonass,22.8,-0.86,331,3,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
65,12,Glonass,34.8,-0.86,312,60,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
66,11,Glonass,29.8,-0.86,177,62,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
67,5,Glonass,22.1,-0.86,36,3,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
68,23,Glonass,27.8,-0.86,244,12,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
69,21,Glonass,30.9,-0.86,25,37,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
70,2,GPS,32.6,0.56,46,49,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
71,5,GPS,43.3,0.56,115,28,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
72,6,GPS,27,0.56,39,4,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
73,12,GPS,37.1,0.56,104,58,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
74,21,GPS,31.6,0.56,219,8,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
75,24,GPS,40,0.56,182,17,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
76,25,GPS,34.9,0.56,334,68,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
