id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUSq,fileID
1,9,Glonass,21.3,0.39,327,19,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
2,15,Glonass,23.9,0.39,172,26,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3,5,GPS,23.2,0.75,95,36,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
4,12,GPS,19.1,0.75,126,44,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
5,21,GPS,26.9,0.75,227,24,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
6,25,GPS,25.8,0.75,29,87,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
7,31,GPS,18.8,0.75,299,25,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
8,18,Glonass,17.8,0.42,347,54,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
9,9,Glonass,17.4,0.42,327,19,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
10,15,Glonass,16.1,0.42,172,26,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
11,17,Glonass,20,0.42,42,21,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
12,3,Glonass,17.6,0.42,116,10,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
13,2,GPS,17.2,1.15,43,33,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
14,5,GPS,23.2,1.15,95,36,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
15,12,GPS,19.4,1.15,126,44,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
16,21,GPS,24.6,1.15,227,24,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
17,24,GPS,19.2,1.15,175,2,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
18,25,GPS,23.8,1.15,29,87,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
19,31,GPS,18.5,1.15,299,25,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
20,2,Glonass,17.4,0.44,67,14,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
21,18,Glonass,18,0.44,347,54,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
22,9,Glonass,20.7,0.44,327,19,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
23,15,Glonass,16.1,0.44,172,26,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
24,17,Glonass,20.3,0.44,42,21,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
25,3,Glonass,19,0.44,116,10,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
26,2,GPS,19.1,0.92,43,33,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
27,5,GPS,17.8,0.92,95,36,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
