id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,FileName,CONUS,FileId
1,10,Glonass,35.4,0.28,0,0,TORGI-GNSS-20180905T044810.167Z.gpkg,0,Control-20
2,9,Glonass,33.3,0.28,0,0,TORGI-GNSS-20180905T044810.167Z.gpkg,0,Control-20
3,20,Glonass,33.4,0.28,0,0,TORGI-GNSS-20180905T044810.167Z.gpkg,0,Control-20
4,19,Glonass,28,0.28,0,0,TORGI-GNSS-20180905T044810.167Z.gpkg,0,Control-20
5,21,Glonass,35.2,0.28,0,0,TORGI-GNSS-20180905T044810.167Z.gpkg,0,Control-20
6,2,GPS,35.2,0.29,0,0,TORGI-GNSS-20180905T044810.167Z.gpkg,0,Control-20
7,6,GPS,28.8,0.29,0,0,TORGI-GNSS-20180905T044810.167Z.gpkg,0,Control-20
8,12,GPS,27.7,0.29,0,0,TORGI-GNSS-20180905T044810.167Z.gpkg,0,Control-20
9,24,GPS,30.9,0.29,0,0,TORGI-GNSS-20180905T044810.167Z.gpkg,0,Control-20
10,25,GPS,35.2,0.29,0,0,TORGI-GNSS-20180905T044810.167Z.gpkg,0,Control-20
11,29,GPS,40.6,0.29,0,0,TORGI-GNSS-20180905T044810.167Z.gpkg,0,Control-20
12,31,GPS,34.7,0.29,0,0,TORGI-GNSS-20180905T044810.167Z.gpkg,0,Control-20
13,9,Glonass,34.4,0.28,185,76,TORGI-GNSS-20180905T044810.167Z.gpkg,0,Control-20
14,20,Glonass,30.3,0.28,279,57,TORGI-GNSS-20180905T044810.167Z.gpkg,0,Control-20
15,19,Glonass,28,0.28,21,41,TORGI-GNSS-20180905T044810.167Z.gpkg,0,Control-20
16,21,Glonass,29.5,0.28,240,11,TORGI-GNSS-20180905T044810.167Z.gpkg,0,Control-20
17,2,GPS,33.9,0.29,52,57,TORGI-GNSS-20180905T044810.167Z.gpkg,0,Control-20
18,6,GPS,26.6,0.29,39,11,TORGI-GNSS-20180905T044810.167Z.gpkg,0,Control-20
19,12,GPS,31,0.29,85,65,TORGI-GNSS-20180905T044810.167Z.gpkg,0,Control-20
20,25,GPS,27.9,0.29,327,58,TORGI-GNSS-20180905T044810.167Z.gpkg,0,Control-20
21,29,GPS,39.5,0.29,281,39,TORGI-GNSS-20180905T044810.167Z.gpkg,0,Control-20
22,31,GPS,35.8,0.29,320,10,TORGI-GNSS-20180905T044810.167Z.gpkg,0,Control-20
23,10,Glonass,26.2,0.28,326,45,TORGI-GNSS-20180905T044810.167Z.gpkg,0,Control-20
24,9,Glonass,32.2,0.28,185,76,TORGI-GNSS-20180905T044810.167Z.gpkg,0,Control-20
25,16,Glonass,23.5,0.28,156,18,TORGI-GNSS-20180905T044810.167Z.gpkg,0,Control-20
