id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID
1,10,Glonass,36.9,-0.68,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
2,11,Glonass,39.1,-0.68,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
3,20,Glonass,33.7,-0.68,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
4,19,Glonass,33.1,-0.68,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
5,21,Glonass,35.7,-0.68,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
6,2,GPS,39.9,-0.05,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
7,6,GPS,39.8,-0.05,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
8,12,GPS,40.9,-0.05,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
9,24,GPS,37.5,-0.05,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
10,25,GPS,45.6,-0.05,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
11,29,GPS,30.8,-0.05,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
12,32,GPS,26.3,-0.05,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
13,10,Glonass,37.4,-0.68,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
14,11,Glonass,40.1,-0.68,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
15,20,Glonass,33.9,-0.68,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
16,19,Glonass,33.1,-0.68,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
17,21,Glonass,37.2,-0.68,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
18,2,GPS,41.3,-0.05,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
19,6,GPS,39.5,-0.05,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
20,12,GPS,39.7,-0.05,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
21,24,GPS,38.7,-0.05,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
22,25,GPS,44.8,-0.05,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
23,29,GPS,32.7,-0.05,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
24,32,GPS,28.8,-0.05,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
25,10,Glonass,37,-0.68,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
26,11,Glonass,38.6,-0.68,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
27,20,Glonass,34.5,-0.68,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
28,19,Glonass,32.8,-0.68,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
29,21,Glonass,36.2,-0.68,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
30,2,GPS,40.9,-0.05,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
31,6,GPS,40.9,-0.05,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
32,12,GPS,41,-0.05,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
33,24,GPS,37,-0.05,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
34,25,GPS,45.5,-0.05,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
35,29,GPS,30.1,-0.05,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
36,32,GPS,28,-0.05,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
37,10,Glonass,36.8,-0.68,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
38,9,Glonass,28.3,-0.68,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
39,11,Glonass,39.3,-0.68,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
40,20,Glonass,33.4,-0.68,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
41,19,Glonass,32,-0.68,0,0,TORGI-GNSS-20180906T040409.488Z.gpkg,0,Control-51
