id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72
1,18,Glonass,31.4,-0.13,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
2,9,Glonass,35.3,-0.13,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
3,5,Glonass,47.1,-0.13,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
4,20,Glonass,28,-0.13,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
5,19,Glonass,31.7,-0.13,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
6,3,Glonass,34,-0.13,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
7,4,Glonass,33.8,-0.13,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
8,5,GPS,41,1.18,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
9,10,GPS,40.1,1.18,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
10,15,GPS,36.1,1.18,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
11,16,GPS,35.3,1.18,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
12,20,GPS,38.5,1.18,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13,21,GPS,40.3,1.18,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
14,25,GPS,43,1.18,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
15,26,GPS,31.6,1.18,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
16,27,GPS,28.9,1.18,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
17,29,GPS,35.8,1.18,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
18,31,GPS,25.8,1.18,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
19,10,Glonass,34,-0.13,298,26,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
20,9,Glonass,36,-0.13,240,26,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
21,5,Glonass,37.5,-0.13,164,26,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
